iter	Passed	Remaining
0	131	131676
1	133	66785
2	135	45066
3	137	34201
4	138	27651
5	140	23294
6	142	20216
7	146	18170
8	149	16459
9	151	14981
10	153	13756
11	154	12760
12	160	12161
13	162	11464
14	164	10820
15	166	10229
16	168	9734
17	174	9519
18	178	9215
19	181	8883
20	183	8545
21	185	8224
22	187	7977
23	191	7776
24	193	7536
25	195	7313
26	197	7099
27	198	6897
28	201	6736
29	203	6573
30	205	6428
31	207	6288
32	210	6161
33	212	6025
34	213	5896
35	217	5815
36	219	5712
37	224	5672
38	225	5568
39	228	5480
40	233	5456
41	236	5399
42	238	5315
43	240	5230
44	242	5147
45	244	5063
46	246	4994
47	248	4929
48	251	4878
49	254	4829
50	255	4760
51	257	4703
52	260	4648
53	263	4624
54	268	4607
55	269	4551
56	271	4494
57	273	4441
58	275	4396
59	277	4354
60	282	4347
61	285	4325
62	287	4280
63	291	4265
64	294	4238
65	297	4214
66	299	4170
67	301	4127
68	302	4085
69	304	4049
70	307	4025
71	310	3999
72	312	3966
73	314	3929
74	315	3894
75	317	3860
76	319	3831
77	323	3822
78	326	3800
79	327	3767
80	329	3735
81	330	3703
82	331	3665
83	335	3662
84	338	3643
85	341	3627
86	343	3603
87	345	3577
88	346	3550
89	350	3547
90	354	3542
91	356	3521
92	358	3497
93	360	3473
94	362	3449
95	364	3431
96	368	3428
97	370	3414
98	373	3398
99	375	3376
100	376	3354
101	379	3337
102	381	3325
103	384	3313
104	386	3294
105	388	3272
106	389	3254
107	391	3234
108	393	3217
109	397	3218
110	400	3209
111	402	3191
112	404	3174
113	406	3155
114	407	3137
115	410	3129
116	412	3115
117	415	3106
118	417	3090
119	419	3073
120	420	3057
121	422	3041
122	424	3028
123	427	3019
124	429	3005
125	431	2990
126	432	2972
127	434	2957
128	435	2942
129	438	2932
130	441	2926
131	443	2915
132	445	2901
133	447	2890
134	449	2882
135	454	2884
136	458	2888
137	460	2876
138	462	2863
139	464	2851
140	465	2838
141	468	2833
142	472	2830
143	474	2818
144	475	2806
145	477	2794
146	479	2781
147	481	2769
148	483	2759
149	486	2757
150	489	2749
151	490	2738
152	492	2725
153	494	2714
154	495	2703
155	499	2701
156	502	2697
157	504	2689
158	506	2679
159	508	2667
160	509	2653
161	510	2642
162	512	2632
163	516	2631
164	518	2622
165	520	2613
166	521	2602
167	523	2592
168	525	2582
169	527	2576
170	531	2577
171	534	2574
172	537	2567
173	538	2557
174	540	2549
175	543	2545
176	547	2544
177	550	2541
178	552	2532
179	553	2522
180	556	2519
181	559	2515
182	562	2512
183	564	2504
184	566	2494
185	567	2485
186	569	2476
187	571	2469
188	574	2466
189	576	2459
190	578	2451
191	580	2442
192	582	2434
193	583	2425
194	586	2421
195	589	2418
196	592	2414
197	594	2406
198	595	2398
199	597	2390
200	600	2387
201	602	2381
202	605	2377
203	607	2369
204	609	2362
205	610	2353
206	612	2345
207	613	2337
208	617	2336
209	620	2332
210	622	2326
211	623	2318
212	625	2311
213	627	2303
214	629	2297
215	631	2292
216	635	2291
217	637	2285
218	638	2278
219	640	2270
220	642	2263
221	643	2256
222	646	2254
223	650	2254
224	652	2248
225	654	2242
226	656	2235
227	658	2228
228	660	2223
229	662	2219
230	665	2216
231	668	2211
232	669	2204
233	671	2197
234	673	2191
235	675	2187
236	677	2182
237	680	2180
238	682	2174
239	684	2167
240	686	2161
241	687	2154
242	691	2152
243	693	2148
244	695	2144
245	697	2138
246	699	2131
247	700	2124
248	702	2118
249	704	2112
250	711	2124
251	713	2118
252	715	2112
253	717	2107
254	719	2101
255	722	2098
256	725	2098
257	728	2095
258	730	2089
259	731	2083
260	733	2077
261	736	2075
262	739	2072
263	742	2069
264	743	2063
265	745	2056
266	747	2051
267	749	2047
268	751	2043
269	754	2039
270	756	2034
271	757	2028
272	759	2022
273	761	2017
274	763	2012
275	765	2008
276	768	2006
277	772	2005
278	773	1999
279	775	1995
280	777	1989
281	779	1984
282	782	1982
283	785	1979
284	787	1975
285	789	1972
286	791	1966
287	793	1961
288	795	1956
289	797	1953
290	800	1950
291	802	1945
292	804	1940
293	806	1935
294	807	1929
295	809	1924
296	811	1920
297	813	1916
298	816	1914
299	818	1909
300	820	1904
301	821	1899
302	823	1893
303	825	1889
304	828	1887
305	831	1886
306	833	1881
307	835	1876
308	836	1871
309	838	1866
310	841	1864
311	844	1862
312	846	1858
313	848	1853
314	849	1847
315	851	1843
316	853	1838
317	854	1833
318	857	1829
319	859	1826
320	861	1823
321	863	1819
322	865	1814
323	867	1809
324	868	1804
325	871	1802
326	874	1799
327	876	1795
328	878	1790
329	879	1785
330	881	1781
331	882	1776
332	884	1771
333	886	1767
334	889	1766
335	891	1761
336	893	1757
337	894	1752
338	896	1747
339	898	1743
340	899	1738
341	901	1735
342	904	1732
343	906	1728
344	908	1724
345	910	1720
346	911	1715
347	913	1710
348	915	1708
349	918	1706
350	920	1702
351	922	1698
352	924	1693
353	925	1689
354	927	1685
355	930	1683
356	933	1681
357	936	1679
358	938	1675
359	939	1670
360	941	1666
361	943	1662
362	945	1659
363	948	1657
364	951	1654
365	952	1650
366	954	1646
367	959	1648
